                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.77116,                0.84358,                 0.8906,                0.89574,                0.60037,                0.69071,                0.46705,                  1.462,                 1.8541,                 1.0951,             0.00012189,             0.00012189,             0.00012189
                     87,                0.76769,                0.83331,                0.90762,                0.86423,                0.59503,                0.69105,                0.47286,                 1.4628,                 1.8702,                 1.1004,             0.00011427,             0.00011427,             0.00011427
                     88,                 0.7417,                0.86686,                0.90319,                0.83447,                0.58691,                0.69433,                0.47067,                 1.4772,                 1.8937,                 1.1089,             0.00010666,             0.00010666,             0.00010666
                     89,                 0.7766,                0.84908,                0.92283,                0.83389,                0.58385,                0.69493,                0.46351,                 1.4873,                 1.9357,                 1.1152,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.83837,                  0.857,                0.92261,                0.83231,                0.58528,                0.69371,                0.46786,                 1.4952,                      2,                 1.1125,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.68594,                0.76356,                0.88854,                0.83517,                0.58464,                0.69175,                0.46984,                 1.4885,                 2.0022,                 1.1076,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                  0.678,                0.76135,                0.88081,                0.84484,                0.57473,                0.69726,                0.49282,                 1.4857,                 1.9808,                  1.105,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.66638,                 0.7485,                0.89687,                0.84878,                0.56839,                0.69918,                 0.4905,                 1.4917,                 1.9503,                  1.107,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.68129,                0.76916,                0.86441,                   0.79,                0.60353,                0.70013,                0.46727,                 1.5134,                 1.8764,                 1.1101,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.68835,                0.74905,                0.88948,                0.78531,                0.60533,                0.69877,                0.46588,                  1.519,                 1.8631,                 1.1114,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.63474,                0.72496,                 0.8683,                0.78298,                0.60806,                0.70005,                0.45995,                 1.5143,                 1.8491,                 1.1081,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.64306,                0.73142,                0.86472,                0.78275,                0.60898,                0.70316,                0.46184,                 1.5099,                 1.8462,                 1.1063,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.65487,                0.72786,                0.85919,                0.78387,                0.60816,                 0.7053,                0.47153,                 1.4975,                 1.8425,                 1.0978,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.64344,                0.71199,                0.86612,                0.78535,                0.60743,                 0.7094,                0.47429,                 1.4948,                 1.8429,                 1.0953,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.64947,                0.72553,                0.86932,                0.78651,                0.60626,                0.71221,                0.47652,                 1.4901,                 1.8349,                 1.0891,             1.5303e-05,             1.5303e-05,             1.5303e-05
